area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,,Number of Bedrooms
Super built-up  Area,Ready To Move,Vignana Nagar,2,Phens G,1000,2,2,350000,1217,,
Plot  Area,Ready To Move,Rajaji Nagar,2,,1056,1,0,2500000,976,,
Super built-up  Area,Ready To Move,Uttarahalli,3,,1250,2,2,500000,1179,,
Super built-up  Area,19-Jun,Hebbal,4,Raard B,2470 - 2790,5,0,1880000,513,,
Super built-up  Area,18-Aug,Jeevan bima nagar,2,,1225,2,2,480000,604,,
Super built-up  Area,19-Jun,Hebbal,4,Raard B,2790,5,3,1980000,513,,
Super built-up  Area,Ready To Move,Indira Nagar,4,,2800,4,3,3650000,563,,
Super built-up  Area,Ready To Move,Seegehalli,3,Niowshi,1683,3,3,800000,1054,,
Built-up  Area,Ready To Move,Yelahanka,2,AdniaSk,1250,2,2,540000,1261,,
Super built-up  Area,Ready To Move,Hennur Road,3,Maity W,1305,2,1,1100000,522,,
Plot  Area,Ready To Move,Sarjapur  Road,3,,3009,3,1,3310000,1039,,
Super built-up  Area,Ready To Move,Kaggalipura,3,Baowsig,1150,2,1,575000,638,,
Built-up  Area,Ready To Move,Kaggadasapura,3,Clsto C,1654,3,3,700000,637,,
Carpet  Area,Ready To Move,Munivenkatppa Layout,4,Trntska,4500,3,0,2250000,831,,
Super built-up  Area,18-May,Kadugodi,3,Alestrb,1890,4,3,1250000,635,,
Super built-up  Area,Ready To Move,Kasavanhalli,2,,1069,2,2,550000,670,,
Super built-up  Area,Ready To Move,Chandapura,2,KHityry,750,1,1,185000,304,,
Plot  Area,Ready To Move,Banashankari,4,,675,4,0,1400000,194,,
Built-up  Area,17-Dec,Hormavu,3,,2400,3,1,1770000,535,,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,,1200,4,2,2400000,43,,
Plot  Area,Ready To Move,Koramangala,4,,1410,2,0,2800000,713,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1680,3,3,1300000,72,,
Super built-up  Area,Ready To Move,Sadanand Nagar,3,,3500,4,2,5000000,1020,,
Super built-up  Area,18-Jul,Sarjapur  Road,3,PualeSk,1700,3,2,935000,1039,,
Plot  Area,Ready To Move,Brindavan Layout,4,,2200,2,0,1500000,274,,
Super built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,1595,3,1,1050000,1148,,
Super built-up  Area,15-Nov,Hennur Road,3,,1480,3,,1000000,522,,
Plot  Area,Ready To Move,Bethel Nagar,3,,1092,3,1,950000,243,,
Super built-up  Area,19-Sep,Koramangala,3,Prood P,1866,4,2,2450000,713,,
Super built-up  Area,Ready To Move,Hebbal,3,RMudeat,3895,3,2,3900000,513,,
Super built-up  Area,Ready To Move,Banashankari,3,,1683,3,2,1150000,194,,
Super built-up  Area,Ready To Move,Dasanapura,2,Tavenew,545,2,1,223400,358,,
Super built-up  Area,Ready To Move,Banaswadi,2,,1340,2,2,730000,208,,
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3,,1100,3,2,530000,613,,
Plot  Area,Ready To Move,Akshaya Nagar,1,,2000,1,0,2000000,98,,
Super built-up  Area,Ready To Move,Whitefield,2,Sriffhi,1185,2,2,560000,1252,,
Super built-up  Area,18-Aug,Chandapura,2,SuVue S,1025,2,2,276800,304,,
Super built-up  Area,Ready To Move,Haralur Road,3,DSimaUl,1730,3,1,950000,506,,
Super built-up  Area,19-Sep,Hennur Road,3,Orens G,1450,3,1,886000,522,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Ceiti I,1862,4,1,1100000,1039,,
Plot  Area,Ready To Move,Sarjapur  Road,4,Adeatlm,4000,5,1,5780000,1039,,
Built-up  Area,Ready To Move,Old Madras Road,3,Brica E,2430,5,2,1800000,896,,
Super built-up  Area,20-Sep,Hoodi,1,Ranuetz,783 - 943,1,0,405500,530,,
Super built-up  Area,Ready To Move,Chambenahalli,2,,1170,2,3,500000,301,,
Super built-up  Area,Ready To Move,B Narayanapura,2,Prionve,1075,2,2,500000,160,,
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,Niiewin,1060,2,1,340000,702,,
Super built-up  Area,17-Jun,Sarjapur,2,,850,2,2,320000,1038,,
Super built-up  Area,Ready To Move,P&T Layout,2,Sashaa ,935,2,1,459000,904,,
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,4,Mauner ,1905,3,,860000,461,,
Built-up  Area,Ready To Move,8th Block Jayanagar,6,,2000,6,3,3000000,73,,
Super built-up  Area,Ready To Move,Uttarahalli,2,Aklia R,1125,2,1,470000,1179,,
Plot  Area,Ready To Move,9th Phase JP Nagar,6,,600,6,2,750000,77,,
Built-up  Area,Ready To Move,Chikkabanavar,4,,1500,4,1,1050000,319,,
Built-up  Area,Ready To Move,Bannerghatta Road,3,Malmser,1725,3,3,850000,216,,
Super built-up  Area,Ready To Move,Dodda Banaswadi,2,,1120,2,3,360000,380,,
Super built-up  Area,Ready To Move,Brookefield,3,Vaontos,1750,2,2,750000,277,,
Super built-up  Area,18-Jul,7th Phase JP Nagar,3,,2000,3,2,770000,72,,
Built-up  Area,Ready To Move,Koramangala,3,Saa 2Ai,1745,3,3,980000,713,,
Plot  Area,Ready To Move,Bagalakunte,5,,750,3,1,950000,184,,
Super built-up  Area,Ready To Move,Uttarahalli,3,Ayaya A,1270,2,2,552500,1179,,
Super built-up  Area,Ready To Move,Iblur Village,5,Emine P,5384,5,3,4200000,559,,
Super built-up  Area,Ready To Move,Sahakara Nagar,2,NCensun,1180,2,2,720000,1025,,
Built-up  Area,Ready To Move,Shanti Nagar,2,SwionMa,1130,2,1,750000,1064,,
Super built-up  Area,18-Dec,Old Airport Road,4,Jaades ,2774,4,3,1970000,895,,
Super built-up  Area,Ready To Move,Ardendale,3,SoystAm,1723,3,2,950000,139,,
Built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1175,2,2,705000,837,,
Super built-up  Area,Ready To Move,Ambalipura,3,Dimes E,1607,2,2,1120000,108,,
Built-up  Area,18-May,Varanasi,2,Ocuil T,1334,2,1,620000,1188,,
Built-up  Area,Ready To Move,Vishwapriya Layout,5,,2800,5,3,1300000,1236,,
Super built-up  Area,19-Mar,Bellandur,3,NiCodCa,1138,3,2,1280000,236,,
Super built-up  Area,19-Dec,Bannerghatta,2,,1113,2,1,700000,215,,
Built-up  Area,Ready To Move,9th Phase JP Nagar,3,NaensGa,1300,2,2,580000,77,,
Plot  Area,Ready To Move,Judicial Layout,4,,2400,4,,3500000,612,,
Built-up  Area,Ready To Move,Sahakara Nagar,2,,1200,2,2,600000,1025,,
Super built-up  Area,Ready To Move,cooketown,3,,1900,3,2,1900000,1279,,
Super built-up  Area,Ready To Move,Jakkur,4,Lecco C,5150,4,3,5590000,584,,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,,1200,5,,2900000,43,,
Super built-up  Area,18-Dec,Whitefield,4,Goted U,2956,5,,2340000,1252,,
Plot  Area,Ready To Move,Begur Road,5,,1100,5,1,1650000,232,,
Super built-up  Area,18-May,Panathur,2,Prcesvy,1398,2,1,970000,914,,
Plot  Area,Ready To Move,Margondanahalli,2,,1152,1,0,660000,803,,
Plot  Area,Ready To Move,Rajarajeshwarinagar,4,,1200,5,,3250000,983,,
Super built-up  Area,Ready To Move,Nagavara,2,,1110,2,2,449500,853,,
Built-up  Area,Ready To Move, Devarachikkanahalli,2,Sarch M,1116,2,1,470000,5,,
Super built-up  Area,Ready To Move,Babusapalaya,2,ARngsd ,1061,2,1,338400,181,,
Super built-up  Area,Ready To Move,Malleshwaram,1,,620,1,1,868000,786,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,,1300,2,2,520000,72,,
Built-up  Area,Ready To Move,Yelahanka,2,Shana S,1270,2,2,570000,1261,,
Super built-up  Area,18-Apr,Peenya,2,,966,2,2,500000,924,,
Plot  Area,Ready To Move,AMS Layout,4,,1200,4,1,1100000,83,,
Plot  Area,Ready To Move,Kodigehalli,4,,1320,4,3,2490000,704,,
Super built-up  Area,Ready To Move,Iblur Village,4,Emine P,3596,5,1,2970000,559,,
Super built-up  Area,18-May,Kathriguppe IV Phase,3,,1630,3,2,1310000,676,,
Super built-up  Area,Ready To Move,Kodipalya,5,,600,6,3,720000,706,,
Plot  Area,Ready To Move,Ramchandrapuram,4,,600,4,2,600000,996,,
Super built-up  Area,Ready To Move,Amruthahalli,2,Veiewak,1202,2,1,650000,114,,
Plot  Area,Ready To Move,Pampa Extension,4,,1200,4,2,2500000,913,,
Built-up  Area,Ready To Move,Jakkur,2,,1300,2,2,800000,584,,
Plot  Area,Ready To Move,Uttarahalli,6,,1200,6,2,3300000,1179,,
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,700000,417,,
Super built-up  Area,Ready To Move,Hennur Road,2,Mileeou,1155,2,1,691800,522,,
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2378,3,1,3100000,539,,
Super built-up  Area,Ready To Move,Hulimavu,2,MBrrySt,1011,2,2,380000,549,,
Built-up  Area,Ready To Move,HSR Layout,2,VaiewV ,1203,2,2,720000,494,,
Super built-up  Area,19-Dec,Hebbal,3,Raard B,1645,3,2,1130000,513,,
Super built-up  Area,Ready To Move,Horamavu Agara,3,Honcyju,1364,2,3,500000,533,,
Plot  Area,19-Jan,Anekal,2,,1200,1,1,360000,126,,
Built-up  Area,Ready To Move,KR Layout,1,,1050,2,2,410000,625,,
Super built-up  Area,Ready To Move,Kothanur,3,,1365,3,3,660000,716,,
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1252,3,3,700000,606,,
Super built-up  Area,Ready To Move,Jigani,3,DLhtsan,1221,3,2,650000,606,,
Built-up  Area,Ready To Move,Panathur,2,,1065,2,1,580000,914,,
Super built-up  Area,Ready To Move,Uttarahalli,3,Ayaya A,1270,2,1,552500,1179,,
Built-up  Area,Ready To Move,Sahakara Nagar,2,KVersuj,1032,2,2,450000,1025,,
Super built-up  Area,Ready To Move,Frazer Town,4,,2900,4,2,3250000,428,,
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,NDivaOl,1515,2,3,690000,1049,,
Super built-up  Area,Ready To Move,Akshaya Vana,2,Daganva,1427,2,2,520000,99,,
Super built-up  Area,Ready To Move,Magadi Road,2,,940,2,2,500000,772,,
Plot  Area,18-Mar,Medahalli,5,,800,5,1,950000,816,,
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1460,2,2,800000,216,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,2275,4,2,1750000,1039,,
Super built-up  Area,21-Sep,9th Phase JP Nagar,3,Vasisvi,1522,3,2,900000,77,,
Plot  Area,19-Jan,Basaveshwara Nagar Yelahanka,3,,3210,4,2,3800000,226,,
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,426700,1148,,
Super built-up  Area,Ready To Move,1Hoysalanagar,13,,5425,13,0,2750000,22,,
Built-up  Area,Ready To Move,Banashankari,3,Bregae ,1800,3,2,1250000,194,,
Super built-up  Area,17-May,Electronics City Phase 1,2,,940,2,1,440000,422,,
Plot  Area,Ready To Move,Andrahalli,4,,1200,4,2,1350000,125,,
Super built-up  Area,Ready To Move,Marathahalli,3,,1530,3,2,710000,799,,
Built-up  Area,Ready To Move,Gollahalli,2,Viine P,1050,2,1,480000,459,,
Super built-up  Area,Ready To Move,Subramanyapura,2,Prldsri,929,2,2,490000,1115,,
Built-up  Area,Ready To Move,Banjara Layout,4,,3750,5,3,1450000,212,,
Super built-up  Area,Ready To Move,Whitefield,3,PaantPl,1530,3,3,750000,1252,,
Plot  Area,Ready To Move,PC Palaya,2,,900,2,1,480000,905,,
Super built-up  Area,Ready To Move,Vasanthapura,2,,978,2,1,342200,1196,,
Built-up  Area,Ready To Move,Sathya Sai Layout,4,Prowshi,4041,4,2,3450000,1046,,
Super built-up  Area,Ready To Move,Ambalipura,1,,770,1,2,438200,108,,
Built-up  Area,Ready To Move,Kaval Byrasandra,2,,1066,2,3,550000,678,,
Super built-up  Area,Ready To Move,Electronic City,1,Palleon,635,1,0,280000,417,,
Super built-up  Area,Ready To Move,Whitefield,2,Arria G,1015,2,1,450000,1252,,
Built-up  Area,Ready To Move,Hebbal,2,AraraSa,1175,2,0,540500,513,,
Plot  Area,Ready To Move,Chikkabanavar,4,,1200,4,2,1300000,319,,
Super built-up  Area,18-May,Vidyaranyapura,2,,1188,2,1,500000,1216,,
Plot  Area,Ready To Move,Indira Nagar,5,,2400,5,2,7000000,563,,
Super built-up  Area,19-Oct,Soppahalli,1,,620,1,1,250000,1094,,
Built-up  Area,Ready To Move,Ejipura,2,Prsichi,1210,2,0,750000,416,,
Plot  Area,18-Apr,Attibele,3,Goe 2me,1000,3,1,900000,152,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Suavea ,1500,2,,990000,976,,
Plot  Area,Ready To Move,Electronic City,4,Aroveth,1800,3,2,1900000,417,,
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,436600,1148,,
Built-up  Area,Ready To Move,Basavangudi,3,V2lasna,1600,3,3,1300000,223,,
Super built-up  Area,Ready To Move,Gottigere,2,,1100,2,1,280000,466,,
Super built-up  Area,Ready To Move,Yelahanka,2,Jatish ,1300,2,2,692300,1261,,
Super built-up  Area,Ready To Move,Kasavanhalli,2,MSopsw ,1100,2,1,680000,670,,
Super built-up  Area,19-Apr,Ambalipura,2,Sisice ,860,2,1,289300,108,,
Super built-up  Area,18-Jun,Panathur,2,,1007,2,1,640000,914,,
Super built-up  Area,Ready To Move,Akshaya Nagar,2,SagasSa,1100,2,2,480000,98,,
Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1187,2,1,380000,1252,,
Super built-up  Area,Ready To Move,R.T. Nagar,2,,1150,2,2,720000,948,,
Super built-up  Area,Ready To Move,Nagavara,3,Vancyat,2400,3,2,2520000,853,,
Super built-up  Area,18-Apr,Aavalahalli,2,,1180,2,3,419400,84,,
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820,3,2,852000,278,,
Plot  Area,Ready To Move,Hennur Bande,6,,1200,6,3,1800000,519,,
Plot  Area,Ready To Move,Sector 1 HSR Layout,3,,2400,6,2,7750000,1048,,
Super built-up  Area,Ready To Move,KR Puram,4,,3628,4,1,2460000,626,,
Built-up  Area,Ready To Move,Kodbisanhalli,3,KSideas,1430,3,2,700000,701,,
Super built-up  Area,21-Jan,Kanakpura Road,2,PrarePa,700,2,1,400000,664,,
Plot  Area,Ready To Move,Kattigenahalli,2,,1200,1,0,700000,677,,
Super built-up  Area,20-Dec,Old Madras Road,2,Shmes O,1165,2,1,407700,896,,
Super built-up  Area,Ready To Move,Jalahalli,3,,1569,3,2,1180000,589,,
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3,,1950,4,3,950000,226,,
Plot  Area,Ready To Move,Jayanti Nagar,2,,1200,3,1,700000,602,,
Super built-up  Area,Ready To Move,Yelahanka New Town,3,,2437,3,2,1250000,1262,,
Super built-up  Area,Ready To Move,Marathahalli,2,,950,2,2,467000,799,,
Built-up  Area,18-Jul,Bellandur,3,NiCodCa,1685,3,3,1150000,236,,
Super built-up  Area,Ready To Move,Green Glen Layout,4,,3270,4,3,2050000,474,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maantr ,1314,2,2,1100000,1039,,
Super built-up  Area,18-May,New Gurappana Palya,3,,1250,3,2,400000,881,,
Built-up  Area,Ready To Move,Virudhu Nagar,2,AmthaIn,1130,2,2,680000,1232,,
Plot  Area,Ready To Move,Doddakannelli,6,,1200,9,3,1220000,392,,
Plot  Area,Ready To Move,Sultan Palaya,6,,890,5,2,1600000,1118,,
Plot  Area,Ready To Move,kamanahalli main road,3,,857,3,2,950000,1283,,
Super built-up  Area,Ready To Move,Whitefield,3,Santste,2247,3,,1450000,1252,,
Super built-up  Area,Ready To Move,Marathahalli,3,Valdsic,1550,3,2,850000,799,,
Super built-up  Area,Ready To Move,Hoodi,3,SMaxyay,1715,2,2,1000000,530,,
Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,1053,2,1,530000,522,,
Plot  Area,Ready To Move,Begur Road,3,,1200,3,0,500000,232,,
Plot  Area,Ready To Move,HBR Layout,3,,1800,2,1,2300000,489,,
Built-up  Area,Ready To Move,Chikkabanavar,5,,2400,4,0,970000,319,,
Super built-up  Area,Ready To Move,Kodbisanhalli,2,Seityen,1245,1,3,600000,701,,
Super built-up  Area,Ready To Move,Koramangala,2,Proodt ,1320,2,1,1600000,713,,
Plot  Area,Ready To Move,Whitefield,4,PrOakSi,3940,5,3,2650000,1252,,
Built-up  Area,Ready To Move,Thanisandra,3,Pronyt ,1241,2,1,650000,1148,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,BriumMi,2980,4,2,2600000,72,,
Plot  Area,Ready To Move,7th Block Koramangala,6,,600,5,3,1300000,71,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Vaw 1il,1090,2,2,570000,972,,
Super built-up  Area,Ready To Move,Byrasandra,3,ViisePa,1390,2,1,500000,284,,
Plot  Area,Ready To Move,Sampangi Rama Nagar,8,,600,4,3,1750000,1029,,
Super built-up  Area,Ready To Move,Jakkur Plantation,3,Leora D,2750,5,2,2750000,585,,
Super built-up  Area,21-Dec,Kanakpura Road,3,PrarePa,1100,2,1,529700,664,,
Built-up  Area,Ready To Move,Koramangala,2,HawerMa,1350,2,2,1030000,713,,
Built-up  Area,Ready To Move,Prakash Nagar,2,,800,2,2,550000,933,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Kla L,1787,3,2,1160000,1039,,
Built-up  Area,Ready To Move,BTM Layout,3,,2400,3,2,2200000,177,,
Super built-up  Area,Ready To Move,Haralur Road,4,Oznzaes,3700,4,2,3250000,506,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Kla L,1691,3,2,930100,1039,,
Super built-up  Area,18-Jul,Bhoganhalli,4,Rosha I,2119,4,3,1110000,252,,
Plot  Area,18-Mar,Chikka Tirupathi,3,Theanmp,2325,3,,950000,317,,
Plot  Area,Ready To Move,Thyagaraja Nagar,5,,570,5,0,800000,1161,,
Super built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1896,3,2,1020000,98,,
Super built-up  Area,17-Oct,Banashankari Stage V,3,Naiewre,1540,3,2,485100,204,,
Super built-up  Area,Ready To Move,Cambridge Layout,2,,1244,2,2,950000,294,,
Super built-up  Area,Ready To Move,Hormavu,3,Naandit,1365,2,2,650000,535,,
Super built-up  Area,18-May,Thanisandra,1,SaSkyBl,580,1,1,275000,1148,,
Super built-up  Area,18-Dec,Hebbal,3,Magiaya,1355,3,2,838700,513,,
Plot  Area,Ready To Move,Bharat Nagar,3,,1500,4,2,1800000,247,,
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,HMityld,1513,2,3,620000,74,,
Super built-up  Area,Ready To Move,Banashankari,2,,1175,2,1,411300,194,,
Super built-up  Area,17-Jan,Thanisandra,3,Soitya ,2087,4,2,1390000,1148,,
Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,2273,3,2,1450000,1141,,
Super built-up  Area,19-May,Thanisandra,3,G conTh,2050,3,2,1500000,1148,,
Built-up  Area,Ready To Move,Garebhavipalya,2,,1200,2,1,750000,442,,
Super built-up  Area,Ready To Move,Whitefield,2,,1190,2,3,590000,1252,,
Super built-up  Area,Ready To Move,Kodigehalli,4,,600,3,2,850000,704,,
Super built-up  Area,18-Apr,Marathahalli,2,,1019,2,2,498600,799,,
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,1830,3,2,1330000,1153,,
Plot  Area,Ready To Move,Channasandra,7,,4278,7,1,2990000,306,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,MamelKa,1028,2,1,560000,1039,,
Built-up  Area,Ready To Move,Old Madras Road,2,Sastaat,1300,2,2,1000000,896,,
Super built-up  Area,Ready To Move,Whitefield,2,Maoma P,1160,2,1,670000,1252,,
Super built-up  Area,Ready To Move,Mahadevpura,3,,1505,3,2,780000,773,,
Super built-up  Area,Ready To Move,Kogilu,2,,1250,2,1,555500,707,,
Plot  Area,Ready To Move,Ramchandrapuram,1,,400,2,1,500000,996,,
Super built-up  Area,Ready To Move,Sarjapur,2,,1175,2,1,416800,1038,,
Super built-up  Area,Ready To Move,Janatha Colony,2,Smrryny,1100,2,2,576000,592,,
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3,PrBayGa,2159,3,2,1200000,1235,,
Super built-up  Area,18-May,Devanahalli,2,Jurdsig,1230,2,1,564500,365,,
Plot  Area,Ready To Move,Gkvk Layout,3,,1200,4,2,1800000,454,,
Built-up  Area,Ready To Move,Channasandra Layout,5,,3100,6,1,1650000,307,,
Super built-up  Area,18-Jun,Old Madras Road,5,Brica E,4500 - 5540,7,0,2870000,896,,
Built-up  Area,Ready To Move,Hegganahalli,1,,1200,1,0,480000,516,,
Super built-up  Area,Ready To Move,Dodsworth Layout,2,Chisei ,1340,2,1,710000,397,,
Super built-up  Area,Ready To Move,Banashankari,3,Vimesar,1750,2,2,890000,194,,
Super built-up  Area,Ready To Move,Banashankari Stage II,2,,1400,2,1,1000000,202,,
Built-up  Area,Ready To Move,Nagarbhavi,3,,1350,3,0,600000,848,,
Super built-up  Area,Ready To Move,RMV Extension,3,Reion M,1675,3,3,620000,955,,
Super built-up  Area,21-Dec,Thanisandra,2,Bhe 2ko,1340,2,1,663300,1148,,
Built-up  Area,Ready To Move,Malleshwaram,2,,600,1,0,680000,786,,
Super built-up  Area,Ready To Move,Hulimavu,2,Vandak ,1276,2,2,760000,549,,
Super built-up  Area,Ready To Move,Ramagondanahalli,3,Srdor S,1738,2,3,760000,987,,
Super built-up  Area,Ready To Move,"Hoodi Circle, ",2,,1190,2,2,599000,531,,
Super built-up  Area,18-Apr,Electronic City,2,Praun,1128,2,1,654500,417,,
Super built-up  Area,Ready To Move,Veersandra,2,Shnto F,1250,2,1,550000,1203,,
Built-up  Area,Ready To Move,ITI Layout,2,Soage,1450,2,2,900000,556,,
Super built-up  Area,Ready To Move,Kudlu,2,MRvar S,1084,2,1,530000,721,,
Built-up  Area,Ready To Move,Kaggadasapura,4,,2150,4,2,900000,637,,
Built-up  Area,Ready To Move,Koramangala,4,,6000,4,0,6250000,713,,
Plot  Area,Ready To Move,Nagarbhavi,4,,600,3,0,770000,848,,
Super built-up  Area,Ready To Move,Hosur Road,2,Kelmsoy,1250,2,2,650000,544,,
Plot  Area,Ready To Move,Seegehalli,3,,2400,4,1,2400000,1054,,
Super built-up  Area,Ready To Move,Begur,3,Spews L,1304,3,0,650000,231,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,2680000,976,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,980,2,1,774400,72,,
Super built-up  Area,Ready To Move,Ramanashree Enclave,2,Sumesa ,1275,2,2,495000,993,,
Plot  Area,Ready To Move,"Yelahanka,MVIT college",1,,10030,1,1,1500000,1263,,
Plot  Area,Ready To Move,Banjara Layout,3,,2500,4,0,1400000,212,,
Built-up  Area,Ready To Move,Bidadi,4,,3600,4,0,2250000,256,,
Plot  Area,Ready To Move,Anekal,3,SRbiaxu,2400,4,0,950000,126,,
Super built-up  Area,Ready To Move,Chikku Lakshmaiah Layout,3,Prlis A,2300,3,2,2800000,330,,
Super built-up  Area,18-May,Kanakpura Road,3,Wiowsri,1450,2,2,701800,664,,
Super built-up  Area,Ready To Move,Electronic City,2,MVnexde,890,2,1,400000,417,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Esave E,1340,2,3,850000,216,,
Super built-up  Area,Ready To Move,Vidyaranyapura,3,,1100,2,1,750000,1216,,
Super built-up  Area,Ready To Move,Kengeri,2,VBvenal,750,2,1,400000,688,,
Plot  Area,Ready To Move,Basaveshwara Nagar,4,,700,4,2,1250000,225,,
Super built-up  Area,Ready To Move,Akshaya Nagar,2,DLhtsnd,1300,2,2,660000,98,,
Super built-up  Area,21-Dec,HRBR Layout,2,,1301,2,1,1200000,493,,
Built-up  Area,Ready To Move,Gnana Bharathi,9,,3200,8,1,1300000,456,,
Plot  Area,Ready To Move,Pillahalli,3,,1900,2,,920000,926,,
Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1299,2,1,1050000,664,,
Super built-up  Area,18-May,Anugrah Layout,3,,1250,3,3,400000,136,,
Plot  Area,Ready To Move,Whitefield,4,Ieuseut,1600,4,2,3000000,1252,,
Super built-up  Area,Ready To Move,Kalkere,2,Sothin ,925,2,1,550000,643,,
Plot  Area,Ready To Move,Meenakunte,3,Sreat R,3900,3,3,2500000,820,,
Super built-up  Area,Ready To Move,Uttarahalli,2,,1107,2,1,450000,1179,,
Plot  Area,Ready To Move,Ramesh Nagar,2,,1400,2,2,1600000,997,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,1300,2,1,670000,422,,
Built-up  Area,Ready To Move,Yeshwanthpur,2,,570,2,1,620000,1267,,
Super built-up  Area,Ready To Move,Hiremath Layout,3,MadorSp,1715,3,2,950000,527,,
Built-up  Area,Ready To Move,Uttarahalli,2,,1200,2,1,550000,1179,,
Plot  Area,Ready To Move,9th Block Jayanagar,6,,1200,5,1,2800000,76,,
Super built-up  Area,Ready To Move,Ashok Nagar,2,,703,2,1,600000,145,,
Super built-up  Area,18-Sep,Talaghattapura,2,,921,2,2,294700,1141,,
Super built-up  Area,Ready To Move,Marathahalli,2,Saavean,1144,2,2,650000,799,,
Super built-up  Area,21-Jan,Kanakpura Road,1,PrarePa,525,1,1,260100,664,,
Super built-up  Area,Ready To Move,Suddaguntepalya,3,Asnex A,1400,2,2,560000,1116,,
Super built-up  Area,18-Jun,Balagere,1,Soresea,661,1,1,330000,188,,
Plot  Area,Ready To Move,Upkar Layout,6,,1200,6,2,1600000,1178,,
Built-up  Area,Ready To Move,Kengeri Satellite Town,5,,1200,5,2,700000,690,,
Super built-up  Area,Ready To Move,Yelahanka,3,Prensya,1705,3,1,910000,1261,,
Plot  Area,Ready To Move,Anjana Nagar,5,,1035,5,1,1700000,128,,
Super built-up  Area,Ready To Move,Kadugodi,3,SRldsnt,1430,2,0,550000,635,,
Super built-up  Area,Ready To Move,Marathahalli,2,Srconor,1240,2,2,550000,799,,
Super built-up  Area,Ready To Move,Garudachar Palya,3,,1325,2,2,608000,443,,
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1230,2,2,440000,1148,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,1000,2,3,280000,422,,
Plot  Area,Ready To Move,Gollarahatti,4,,740,2,1,245000,460,,
Super built-up  Area,Ready To Move,Uttarahalli,3,SLnssPr,1330,2,2,464500,1179,,
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Adeatlm,3005,5,,2750000,1039,,
Super built-up  Area,Ready To Move,Shivaji Nagar,3,FBazaah,1300,3,2,1700000,1074,,
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,460000,506,,
Built-up  Area,Ready To Move,Kengeri Satellite Town,4,,936,2,1,608400,690,,
Super built-up  Area,18-Apr,Banashankari Stage III,3,,1500,2,2,1000000,203,,
Plot  Area,Ready To Move,Kodigehalli,3,,1200,4,1,1560000,704,,
Built-up  Area,Ready To Move,Cox Town,2,,1073,2,2,720000,348,,
Built-up  Area,Ready To Move,Kudlu,2,GKityde,1300,2,2,560000,721,,
Plot  Area,18-May,Sarjapur,4,Prldsum,4201,4,3,4350000,1038,,
Built-up  Area,18-Dec,Electronic City,2,,1065,2,1,307500,417,,
Super built-up  Area,18-Apr,Whitefield,2,Prtates,1216,2,1,668800,1252,,
